# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
100 229.366 5.24913 0.652991 4.59614
200 19.3323 0.431655 0.0566435 0.375012
300 3.99018 0.0880358 0.0121552 0.0758806
400 1.18057 0.0259044 0.00376962 0.0221348
500 0.425215 0.00932191 0.00143039 0.00789152
600 0.173477 0.00381323 0.000616051 0.00319718
700 0.077078 0.00170336 0.000289204 0.00141415
800 0.0364611 0.000811971 0.000144513 0.000667458
900 0.0181002 0.000406653 7.56886e-05 0.000330965
1000 0.00933343 0.000211894 4.11117e-05 0.000170782
