m1000011 | LO [pb] | LO_scale+ | LO_scale- | LO_PDF | LO_alphas | NLO [pb] | NLO_scale+ | NLO_scale- | NLO_PDF | NLO_alphas | resum [pb] | resum_scale+ | resum_scale- | resum_PDF | resum_alphas
100 | 0.226154 | 0.232225 | 0.217561 | 0.0039826 | 0.000702665 | 0.276519 | 0.282319 | 0.27165 | 0.00471719 | 0.00125816 | 0.276074 | 0.28361 | 0.27343 | 0.00471227 | 0.0012476
200 | 0.0191145 | 0.0193818 | 0.0187622 | 0.000426762 | 9.685e-06 | 0.0223875 | 0.0228381 | 0.0220153 | 0.000493385 | 3.86485e-05 | 0.0223378 | 0.0230514 | 0.0221639 | 0.000494014 | 3.7918e-05
300 | 0.00394831 | 0.00410803 | 0.00378941 | 0.000110515 | -5.8409e-06 | 0.00455556 | 0.00465133 | 0.00446505 | 0.000126024 | -1.822e-06 | 0.004543 | 0.00468756 | 0.00450104 | 0.000126006 | -1.86395e-06
400 | 0.00116835 | 0.00123647 | 0.00110527 | 3.94442e-05 | -3.42665e-06 | 0.00134095 | 0.00136938 | 0.00131181 | 4.49483e-05 | -2.5137e-06 | 0.00133664 | 0.00137925 | 0.00132446 | 4.49739e-05 | -2.56155e-06
500 | 0.0004209 | 0.000451039 | 0.000393974 | 1.71694e-05 | -1.92826e-06 | 0.000482816 | 0.000493223 | 0.000471559 | 1.95708e-05 | -1.729e-06 | 0.000481111 | 0.000497044 | 0.000476999 | 1.95562e-05 | -1.76004e-06
600 | 0.000171714 | 0.000185849 | 0.000159299 | 8.53237e-06 | -1.00692e-06 | 0.000197371 | 0.000201713 | 0.000192382 | 9.73635e-06 | -9.77475e-07 | 0.000196643 | 0.000203259 | 0.000194998 | 9.75029e-06 | -9.8299e-07
700 | 7.6317e-05 | 8.32913e-05 | 7.02542e-05 | 4.65749e-06 | -5.35667e-07 | 8.7998e-05 | 9.00228e-05 | 8.56179e-05 | 5.287e-06 | -5.28041e-07 | 8.76685e-05 | 9.06828e-05 | 8.69771e-05 | 5.29282e-06 | -5.32794e-07
800 | 3.61226e-05 | 3.96964e-05 | 3.30282e-05 | 2.76476e-06 | -2.97823e-07 | 4.18291e-05 | 4.28121e-05 | 4.06163e-05 | 3.13754e-06 | -3.02685e-07 | 4.1674e-05 | 4.31132e-05 | 4.13551e-05 | 3.14069e-06 | -3.05755e-07
900 | 1.79331e-05 | 1.98308e-05 | 1.63042e-05 | 1.72632e-06 | -1.7019e-07 | 2.08685e-05 | 2.1378e-05 | 2.02313e-05 | 1.95652e-06 | -1.76451e-07 | 2.07949e-05 | 2.15176e-05 | 2.06505e-05 | 1.95886e-06 | -1.77709e-07
1000 | 9.24782e-06 | 1.02863e-05 | 8.36526e-06 | 1.12759e-06 | -9.9515e-08 | 1.08155e-05 | 1.10949e-05 | 1.04663e-05 | 1.27692e-06 | -1.0648e-07 | 1.07802e-05 | 1.11597e-05 | 1.07105e-05 | 1.27702e-06 | -1.07251e-07
