m1000011 | LO [pb] | LO_scale+ | LO_scale- | LO_PDF | LO_alphas | NLO [pb] | NLO_scale+ | NLO_scale- | NLO_PDF | NLO_alphas | resum [pb] | resum_scale+ | resum_scale- | resum_PDF | resum_alphas
100 | 0.243254 | 0.250404 | 0.233281 | 0.00416002 | 0.00076895 | 0.29801 | 0.304301 | 0.292668 | 0.00490801 | 0.001406 | 0.297533 | 0.305347 | 0.294588 | 0.00490815 | 0.0014022
200 | 0.0208047 | 0.02104 | 0.0204458 | 0.000447826 | 1.2693e-05 | 0.0243978 | 0.0248741 | 0.0239707 | 0.00051762 | 4.7757e-05 | 0.0243449 | 0.0251063 | 0.0241305 | 0.000518202 | 4.74145e-05
300 | 0.00435573 | 0.00451999 | 0.00418983 | 0.000118301 | -6.5556e-06 | 0.00502763 | 0.00513149 | 0.00492924 | 0.000134754 | -1.50675e-06 | 0.00501443 | 0.00517181 | 0.00496755 | 0.000135003 | -1.87415e-06
400 | 0.00130705 | 0.00137941 | 0.00123921 | 4.2572e-05 | -3.58095e-06 | 0.0015 | 0.00153123 | 0.00146787 | 4.84217e-05 | -2.6494e-06 | 0.00149539 | 0.00154167 | 0.00148149 | 4.85133e-05 | -2.6885e-06
500 | 0.000477712 | 0.000510374 | 0.000448108 | 1.88046e-05 | -2.07102e-06 | 0.000547601 | 0.000559223 | 0.00053497 | 2.14136e-05 | -1.83325e-06 | 0.000545738 | 0.000563284 | 0.000540874 | 2.14574e-05 | -1.86151e-06
600 | 0.000197707 | 0.000213323 | 0.000183799 | 9.35594e-06 | -1.09967e-06 | 0.000226931 | 0.000231871 | 0.000221341 | 1.06186e-05 | -1.04288e-06 | 0.000226107 | 0.000233579 | 0.000224209 | 1.0629e-05 | -1.05816e-06
700 | 8.91321e-05 | 9.70159e-05 | 8.22573e-05 | 5.09872e-06 | -5.98016e-07 | 0.000102611 | 0.000104917 | 9.99186e-05 | 5.7837e-06 | -5.90845e-07 | 0.000102235 | 0.000105711 | 0.000101415 | 5.79843e-06 | -5.98295e-07
800 | 4.27958e-05 | 4.69067e-05 | 3.92353e-05 | 3.01309e-06 | -3.3784e-07 | 4.94664e-05 | 5.06095e-05 | 4.80692e-05 | 3.43109e-06 | -3.36857e-07 | 4.92848e-05 | 5.09638e-05 | 4.88986e-05 | 3.43479e-06 | -3.39686e-07
900 | 2.15566e-05 | 2.37784e-05 | 1.96511e-05 | 1.89012e-06 | -1.95776e-07 | 2.50283e-05 | 2.5627e-05 | 2.4284e-05 | 2.14543e-06 | -2.03038e-07 | 2.49386e-05 | 2.58028e-05 | 2.47608e-05 | 2.14734e-06 | -2.05271e-07
1000 | 1.1281e-05 | 1.25089e-05 | 1.02295e-05 | 1.24027e-06 | -1.16129e-07 | 1.31608e-05 | 1.3489e-05 | 1.27458e-05 | 1.40458e-06 | -1.22004e-07 | 1.31166e-05 | 1.35714e-05 | 1.30274e-05 | 1.40509e-06 | -1.22627e-07
