m1000011 | LO [pb] | LO_scale+ | LO_scale- | LO_PDF | LO_alphas | NLO [pb] | NLO_scale+ | NLO_scale- | NLO_PDF | NLO_alphas | resum [pb] | resum_scale+ | resum_scale- | resum_PDF | resum_alphas
100 | 0.243254 | 0.250404 | 0.233281 | 0.00416002 | 0.00076895 | 0.29801 | 0.304301 | 0.292668 | 0.00490801 | 0.001406 | 0.299565 | 0.310321 | 0.296098 | 0.00494251 | 0.00143084
200 | 0.0208047 | 0.02104 | 0.0204458 | 0.000447826 | 1.2693e-05 | 0.0243978 | 0.0248741 | 0.0239707 | 0.00051762 | 4.7757e-05 | 0.0244913 | 0.0254958 | 0.0240787 | 0.000520536 | 4.9425e-05
300 | 0.00435573 | 0.00451999 | 0.00418983 | 0.000118301 | -6.5556e-06 | 0.00502763 | 0.00513149 | 0.00492924 | 0.000134754 | -1.50675e-06 | 0.00504078 | 0.00524885 | 0.00495469 | 0.000135414 | -1.3703e-06
400 | 0.00130705 | 0.00137941 | 0.00123921 | 4.2572e-05 | -3.58095e-06 | 0.0015 | 0.00153123 | 0.00146787 | 4.84217e-05 | -2.6494e-06 | 0.00150237 | 0.001563 | 0.00147708 | 4.85848e-05 | -2.6138e-06
500 | 0.000477712 | 0.000510374 | 0.000448108 | 1.88046e-05 | -2.07102e-06 | 0.000547601 | 0.000559223 | 0.00053497 | 2.14136e-05 | -1.83325e-06 | 0.000548043 | 0.000569686 | 0.00053902 | 2.14966e-05 | -1.83552e-06
600 | 0.000197707 | 0.000213323 | 0.000183799 | 9.35594e-06 | -1.09967e-06 | 0.000226931 | 0.000231871 | 0.000221341 | 1.06186e-05 | -1.04288e-06 | 0.000226972 | 0.000236081 | 0.000223382 | 1.06535e-05 | -1.04386e-06
700 | 8.91321e-05 | 9.70159e-05 | 8.22573e-05 | 5.09872e-06 | -5.98016e-07 | 0.000102611 | 0.000104917 | 9.99186e-05 | 5.7837e-06 | -5.90845e-07 | 0.000102586 | 0.0001068 | 0.000101028 | 5.7972e-06 | -5.9411e-07
800 | 4.27958e-05 | 4.69067e-05 | 3.92353e-05 | 3.01309e-06 | -3.3784e-07 | 4.94664e-05 | 5.06095e-05 | 4.80692e-05 | 3.43109e-06 | -3.36857e-07 | 4.944e-05 | 5.14795e-05 | 4.87021e-05 | 3.43748e-06 | -3.37276e-07
900 | 2.15566e-05 | 2.37784e-05 | 1.96511e-05 | 1.89012e-06 | -1.95776e-07 | 2.50283e-05 | 2.5627e-05 | 2.4284e-05 | 2.14543e-06 | -2.03038e-07 | 2.50145e-05 | 2.60587e-05 | 2.46573e-05 | 2.15084e-06 | -2.03133e-07
1000 | 1.1281e-05 | 1.25089e-05 | 1.02295e-05 | 1.24027e-06 | -1.16129e-07 | 1.31608e-05 | 1.3489e-05 | 1.27458e-05 | 1.40458e-06 | -1.22004e-07 | 1.31532e-05 | 1.37033e-05 | 1.29717e-05 | 1.40684e-06 | -1.22413e-07
