m1000011 | LO [pb] | LO_scale+ | LO_scale- | LO_PDF | LO_alphas | NLO [pb] | NLO_scale+ | NLO_scale- | NLO_PDF | NLO_alphas | resum [pb] | resum_scale+ | resum_scale- | resum_PDF | resum_alphas
100 | 0.22912 | 0.235273 | 0.220403 | 0.00399029 | 0.0007057 | 0.280145 | 0.286016 | 0.275181 | 0.00470466 | 0.00129206 | 0.281599 | 0.292026 | 0.27841 | 0.00471124 | 0.00131269
200 | 0.0193039 | 0.0195744 | 0.0189483 | 0.00043022 | 9.745e-06 | 0.0226097 | 0.0230662 | 0.0222299 | 0.000496862 | 3.96525e-05 | 0.0226945 | 0.0236448 | 0.0223324 | 0.000499412 | 4.01675e-05
300 | 0.00398434 | 0.0041456 | 0.00382393 | 0.000111649 | -5.9067e-06 | 0.00459727 | 0.00469329 | 0.00450497 | 0.000127944 | -1.85675e-06 | 0.00460897 | 0.00480064 | 0.00452894 | 0.000128701 | -1.87605e-06
400 | 0.00117856 | 0.0012473 | 0.00111492 | 3.98282e-05 | -3.4638e-06 | 0.00135282 | 0.00138114 | 0.00132324 | 4.54594e-05 | -2.6061e-06 | 0.00135477 | 0.0014096 | 0.00133189 | 4.55955e-05 | -2.5435e-06
500 | 0.000424467 | 0.000454874 | 0.0003973 | 1.73106e-05 | -1.95317e-06 | 0.000486931 | 0.000497428 | 0.000475626 | 1.97792e-05 | -1.76314e-06 | 0.000487232 | 0.000506776 | 0.000479429 | 1.98242e-05 | -1.77213e-06
600 | 0.000173131 | 0.000187388 | 0.00016061 | 8.59758e-06 | -1.0158e-06 | 0.000198994 | 0.000203414 | 0.00019398 | 9.79928e-06 | -9.68635e-07 | 0.000199 | 0.000207126 | 0.000195884 | 9.82484e-06 | -9.6832e-07
700 | 7.6932e-05 | 8.39651e-05 | 7.08186e-05 | 4.69205e-06 | -5.40669e-07 | 8.87022e-05 | 9.0756e-05 | 8.63186e-05 | 5.30968e-06 | -5.36679e-07 | 8.86718e-05 | 9.2368e-05 | 8.73419e-05 | 5.32052e-06 | -5.36519e-07
800 | 3.64069e-05 | 4.00103e-05 | 3.32874e-05 | 2.78292e-06 | -3.00571e-07 | 4.21622e-05 | 4.31421e-05 | 4.09351e-05 | 3.15947e-06 | -3.05251e-07 | 4.21404e-05 | 4.38952e-05 | 4.15139e-05 | 3.17249e-06 | -3.0802e-07
900 | 1.80711e-05 | 1.9984e-05 | 1.64291e-05 | 1.73723e-06 | -1.71687e-07 | 2.10289e-05 | 2.15423e-05 | 2.0378e-05 | 1.97072e-06 | -1.8032e-07 | 2.10165e-05 | 2.18977e-05 | 2.07121e-05 | 1.97564e-06 | -1.80279e-07
1000 | 9.31729e-06 | 1.03639e-05 | 8.42784e-06 | 1.13434e-06 | -1.00373e-07 | 1.08999e-05 | 1.11801e-05 | 1.05475e-05 | 1.28589e-06 | -1.06186e-07 | 1.08946e-05 | 1.13525e-05 | 1.07463e-05 | 1.28907e-06 | -1.06856e-07
