m2000011 | LO [pb] | LO_scale+ | LO_scale- | LO_PDF | LO_alphas | NLO [pb] | NLO_scale+ | NLO_scale- | NLO_PDF | NLO_alphas | resum [pb] | resum_scale+ | resum_scale- | resum_PDF | resum_alphas
100 | 0.0886959 | 0.0912635 | 0.0851225 | 0.00170203 | 0.000287254 | 0.108729 | 0.111053 | 0.10676 | 0.0020221 | 0.00049544 | 0.108591 | 0.1115 | 0.107474 | 0.00202828 | 0.000498005
200 | 0.00794014 | 0.00802748 | 0.00781345 | 0.000182375 | 6.46725e-06 | 0.00931648 | 0.009502 | 0.00916169 | 0.000209871 | 1.95489e-05 | 0.00929889 | 0.00959437 | 0.00922168 | 0.00021065 | 1.93552e-05
300 | 0.00168829 | 0.0017511 | 0.00162486 | 4.71743e-05 | -2.2537e-06 | 0.00194988 | 0.00198965 | 0.00191189 | 5.40415e-05 | -4.384e-07 | 0.00194502 | 0.00200599 | 0.00192671 | 5.41333e-05 | -5.797e-07
400 | 0.000511175 | 0.000539131 | 0.000485156 | 1.69067e-05 | -1.34018e-06 | 0.000586746 | 0.000598965 | 0.000574334 | 1.9258e-05 | -9.2391e-07 | 0.000585033 | 0.000603041 | 0.00057963 | 1.93284e-05 | -9.5598e-07
500 | 0.000188052 | 0.000200802 | 0.000176581 | 7.51817e-06 | -7.51185e-07 | 0.00021555 | 0.000220125 | 0.000210649 | 8.56866e-06 | -6.428e-07 | 0.000214839 | 0.000221771 | 0.000212952 | 8.58355e-06 | -6.5057e-07
600 | 7.82824e-05 | 8.43938e-05 | 7.28332e-05 | 3.81699e-06 | -4.0652e-07 | 8.9841e-05 | 9.17752e-05 | 8.76428e-05 | 4.34709e-06 | -3.84747e-07 | 8.95237e-05 | 9.24527e-05 | 8.87606e-05 | 4.35325e-06 | -3.87127e-07
700 | 3.54787e-05 | 3.85715e-05 | 3.27668e-05 | 2.11221e-06 | -2.26864e-07 | 4.08279e-05 | 4.17383e-05 | 3.97529e-05 | 2.39884e-06 | -2.25558e-07 | 4.06794e-05 | 4.20426e-05 | 4.03423e-05 | 2.40439e-06 | -2.27298e-07
800 | 1.71188e-05 | 1.87458e-05 | 1.57096e-05 | 1.26113e-06 | -1.30103e-07 | 1.97694e-05 | 2.02303e-05 | 1.92205e-05 | 1.42608e-06 | -1.30558e-07 | 1.9697e-05 | 2.03722e-05 | 1.95473e-05 | 1.42786e-06 | -1.31642e-07
900 | 8.66626e-06 | 9.54949e-06 | 7.9072e-06 | 7.98482e-07 | -7.59078e-08 | 1.00535e-05 | 1.02922e-05 | 9.75918e-06 | 9.03475e-07 | -7.79825e-08 | 1.00179e-05 | 1.03623e-05 | 9.94808e-06 | 9.05015e-07 | -7.8755e-08
1000 | 4.55799e-06 | 5.04902e-06 | 4.13692e-06 | 5.28529e-07 | -4.53262e-08 | 5.31284e-06 | 5.44412e-06 | 5.14673e-06 | 5.98614e-07 | -4.75645e-08 | 5.29499e-06 | 5.47692e-06 | 5.25832e-06 | 5.99204e-07 | -4.80924e-08
