m2000011 | LO [pb] | LO_scale+ | LO_scale- | LO_PDF | LO_alphas | NLO [pb] | NLO_scale+ | NLO_scale- | NLO_PDF | NLO_alphas | resum [pb] | resum_scale+ | resum_scale- | resum_PDF | resum_alphas
100 | 0.0886959 | 0.0912635 | 0.0851225 | 0.00170203 | 0.000287254 | 0.108729 | 0.111053 | 0.10676 | 0.0020221 | 0.00049544 | 0.109315 | 0.113299 | 0.10802 | 0.00203793 | 0.00050426
200 | 0.00794014 | 0.00802748 | 0.00781345 | 0.000182375 | 6.46725e-06 | 0.00931648 | 0.009502 | 0.00916169 | 0.000209871 | 1.95489e-05 | 0.00935299 | 0.00974005 | 0.00920145 | 0.000210864 | 1.99657e-05
300 | 0.00168829 | 0.0017511 | 0.00162486 | 4.71743e-05 | -2.2537e-06 | 0.00194988 | 0.00198965 | 0.00191189 | 5.40415e-05 | -4.384e-07 | 0.00195503 | 0.00203531 | 0.00192146 | 5.41378e-05 | -4.0485e-07
400 | 0.000511175 | 0.000539131 | 0.000485156 | 1.69067e-05 | -1.34018e-06 | 0.000586746 | 0.000598965 | 0.000574334 | 1.9258e-05 | -9.2391e-07 | 0.000587727 | 0.000611448 | 0.000577847 | 1.93346e-05 | -9.2469e-07
500 | 0.000188052 | 0.000200802 | 0.000176581 | 7.51817e-06 | -7.51185e-07 | 0.00021555 | 0.000220125 | 0.000210649 | 8.56866e-06 | -6.428e-07 | 0.000215733 | 0.000224267 | 0.000212218 | 8.59932e-06 | -6.43035e-07
600 | 7.82824e-05 | 8.43938e-05 | 7.28332e-05 | 3.81699e-06 | -4.0652e-07 | 8.9841e-05 | 9.17752e-05 | 8.76428e-05 | 4.34709e-06 | -3.84747e-07 | 8.98602e-05 | 9.34362e-05 | 8.84308e-05 | 4.35817e-06 | -3.82988e-07
700 | 3.54787e-05 | 3.85715e-05 | 3.27668e-05 | 2.11221e-06 | -2.26864e-07 | 4.08279e-05 | 4.17383e-05 | 3.97529e-05 | 2.39884e-06 | -2.25558e-07 | 4.08166e-05 | 4.24751e-05 | 4.01861e-05 | 2.40001e-06 | -2.25791e-07
800 | 1.71188e-05 | 1.87458e-05 | 1.57096e-05 | 1.26113e-06 | -1.30103e-07 | 1.97694e-05 | 2.02303e-05 | 1.92205e-05 | 1.42608e-06 | -1.30558e-07 | 1.97601e-05 | 2.05775e-05 | 1.94668e-05 | 1.42964e-06 | -1.31585e-07
900 | 8.66626e-06 | 9.54949e-06 | 7.9072e-06 | 7.98482e-07 | -7.59078e-08 | 1.00535e-05 | 1.02922e-05 | 9.75918e-06 | 9.03475e-07 | -7.79825e-08 | 1.00476e-05 | 1.04643e-05 | 9.90566e-06 | 9.05879e-07 | -7.8647e-08
1000 | 4.55799e-06 | 5.04902e-06 | 4.13692e-06 | 5.28529e-07 | -4.53262e-08 | 5.31284e-06 | 5.44412e-06 | 5.14673e-06 | 5.98614e-07 | -4.75645e-08 | 5.30989e-06 | 5.5305e-06 | 5.23554e-06 | 6.00493e-07 | -4.76405e-08
